# trace records: appended=6864 stored=6864
# seq[0]=0
# seq[1]=4
# seq[2]=264
# seq[3]=34
# seq[4]=132
# seq[5]=260
# seq[6]=0
# seq[7]=1024
# seq[8]=1024
# seq[9]=4096
# seq[10]=32
# seq[11]=4
# seq[12]=0
# seq[13]=0
# seq[14]=0
# seq[15]=0
kind,bx,by,rank,warp,lane,smid,seq,t,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
2,19,1,3,4,0,51,138,1788983405571179424,0,3,0,1,0,0,0,0,0,0
2,47,1,3,0,0,109,136,1788983405571179424,0,3,0,0,0,0,0,0,0,0
2,19,0,1,4,0,35,140,1788983405571179456,0,1,0,1,0,0,0,0,0,0
2,47,1,3,4,0,109,139,1788983405571179456,0,3,0,1,0,0,0,0,0,0
2,1,0,1,4,0,1,154,1788983405571179488,0,1,0,1,0,0,0,0,0,0
9,6,1,2,0,0,22,3,1788983405571179520,8,2,0,1,0,0,0,2,9,0
9,17,0,1,0,0,33,5,1788983405571179520,12,2,0,1,0,0,0,3,12,0
2,1,0,1,0,0,1,159,1788983405571179520,0,1,0,0,0,0,0,0,0,0
2,1,1,3,0,0,17,167,1788983405571179520,0,3,0,0,0,0,0,0,0,0
2,1,1,3,4,0,17,165,1788983405571179520,0,3,0,1,0,0,0,0,0,0
9,7,1,3,0,0,23,4,1788983405571179552,8,2,0,1,0,0,0,3,9,0
9,7,0,1,0,0,7,6,1788983405571179552,8,2,0,1,0,0,0,3,8,0
8,18,0,0,1,0,34,4,1788983405571179616,6,2,0,1,0,0,0,2,6,0
9,17,1,3,0,0,49,7,1788983405571179616,12,2,0,1,0,0,0,3,13,0
9,16,1,2,0,0,48,8,1788983405571179616,12,2,0,1,0,0,0,2,13,0
7,10,0,0,1,0,10,11,1788983405571179616,0,1,0,1232,5,0,0,0,0,0
2,47,0,1,0,0,95,164,1788983405571179616,0,1,0,0,0,0,0,0,0,0
7,40,0,0,1,0,74,12,1788983405571179648,0,1,0,1232,20,0,0,0,0,0
7,60,0,0,1,0,130,10,1788983405571179648,0,1,0,1232,30,0,0,0,0,0
2,47,0,1,4,0,95,166,1788983405571179648,0,1,0,1,0,0,0,0,0,0
7,14,0,0,1,0,14,16,1788983405571179648,0,1,0,1232,7,0,0,0,0,0
2,60,0,0,0,0,130,19,1788983405571179648,0,0,1,0,0,0,0,0,0,0
7,28,0,0,1,0,44,19,1788983405571179648,0,1,0,1232,14,0,0,0,0,0
7,0,2,0,1,0,134,15,1788983405571179648,0,1,0,1232,0,1,0,0,0,0
7,12,0,0,1,0,12,20,1788983405571179648,0,1,0,1232,6,0,0,0,0,0
8,2,0,0,1,0,2,5,1788983405571179680,10,2,0,1,0,0,0,2,10,0
7,44,0,0,1,0,78,14,1788983405571179680,0,1,0,1232,22,0,0,0,0,0
8,8,0,0,1,0,8,6,1788983405571179648,14,2,0,1,0,0,0,2,14,0
2,0,2,0,0,0,134,21,1788983405571179648,0,0,1,0,0,0,0,0,0,0
2,12,0,0,0,0,12,25,1788983405571179680,0,0,1,0,0,0,0,0,0,0
2,48,1,2,0,0,110,142,1788983405571179680,0,2,1,0,0,0,0,0,0,0
7,42,0,0,1,0,76,21,1788983405571179712,0,1,0,1232,21,0,0,0,0,0
7,20,0,0,1,0,36,8,1788983405571179680,0,1,0,1232,10,0,0,0,0,0
2,40,0,0,0,0,74,82,1788983405571179712,0,0,1,0,0,0,0,0,0,0
9,8,0,0,0,0,8,9,1788983405571179680,14,2,0,1,0,0,0,2,14,0
2,20,0,0,0,0,36,18,1788983405571179680,0,0,1,0,0,0,0,0,0,0
2,48,1,2,4,0,110,143,1788983405571179712,0,2,1,1,0,0,0,0,0,0
2,28,0,0,0,0,44,79,1788983405571179712,0,0,1,0,0,0,0,0,0,0
2,48,0,0,0,0,96,141,1788983405571179712,0,0,1,0,0,0,0,0,0,0
2,10,0,0,0,0,10,85,1788983405571179712,0,0,1,0,0,0,0,0,0,0
